"scenario" "age_class" "vectorial_capacity"
"Scenario 1" "12-day-old" 112.724339262055
"Scenario 1" "12-day-old" 125.651369226092
"Scenario 1" "12-day-old" 138.834691277131
"Scenario 1" "12-day-old" 138.834691277131
"Scenario 1" "12-day-old" 138.834691277131
"Scenario 1" "12-day-old" 152.243289523564
"Scenario 1" "12-day-old" 152.243289523564
"Scenario 1" "12-day-old" 152.243289523564
"Scenario 1" "12-day-old" 152.243289523564
"Scenario 1" "12-day-old" 152.243289523564
"Scenario 1" "12-day-old" 165.850853915411
"Scenario 1" "12-day-old" 165.850853915411
"Scenario 1" "12-day-old" 165.850853915411
"Scenario 1" "12-day-old" 165.850853915411
"Scenario 1" "12-day-old" 165.850853915411
"Scenario 1" "12-day-old" 165.850853915411
"Scenario 1" "12-day-old" 179.634943043237
"Scenario 1" "12-day-old" 179.634943043237
"Scenario 1" "12-day-old" 179.634943043237
"Scenario 1" "12-day-old" 179.634943043237
"Scenario 1" "12-day-old" 179.634943043237
"Scenario 1" "12-day-old" 193.576313779646
"Scenario 1" "12-day-old" 193.576313779646
"Scenario 1" "12-day-old" 193.576313779646
"Scenario 1" "12-day-old" 193.576313779646
"Scenario 1" "12-day-old" 193.576313779646
"Scenario 1" "12-day-old" 207.65838189087
"Scenario 1" "12-day-old" 207.65838189087
"Scenario 1" "12-day-old" 207.65838189087
"Scenario 1" "12-day-old" 221.866785747584
"Scenario 1" "12-day-old" 236.189031516873
"Scenario 1" "12-day-old" 236.189031516873
"Scenario 1" "12-day-old" 236.189031516873
"Scenario 1" "12-day-old" 236.189031516873
"Scenario 1" "12-day-old" 236.189031516873
"Scenario 1" "12-day-old" 236.189031516873
"Scenario 1" "12-day-old" 250.61420304923
"Scenario 1" "12-day-old" 250.61420304923
"Scenario 1" "12-day-old" 265.132723390268
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 279.736157701474
"Scenario 1" "12-day-old" 294.417049570085
"Scenario 1" "12-day-old" 294.417049570085
"Scenario 1" "12-day-old" 294.417049570085
"Scenario 1" "12-day-old" 309.168784381809
"Scenario 1" "12-day-old" 309.168784381809
"Scenario 1" "12-day-old" 323.985474741242
"Scenario 1" "12-day-old" 338.861863944129
"Scenario 1" "12-day-old" 338.861863944129
"Scenario 1" "12-day-old" 368.775387742172
"Scenario 1" "12-day-old" 368.775387742172
"Scenario 1" "12-day-old" 459.544643910171
"Scenario 1" "12-day-old" 1.03128502519147e-05
"Scenario 1" "12-day-old" 1.74947907006993
"Scenario 1" "12-day-old" 7.44335507859951
"Scenario 1" "12-day-old" 10.0363735156078
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 15.9637557063597
"Scenario 1" "12-day-old" 15.9637557063597
"Scenario 1" "12-day-old" 15.9637557063597
"Scenario 1" "12-day-old" 19.2232433895647
"Scenario 1" "12-day-old" 19.2232433895647
"Scenario 1" "12-day-old" 22.6407774254734
"Scenario 1" "12-day-old" 22.6407774254734
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 37.4885171768874
"Scenario 1" "12-day-old" 41.4218065489236
"Scenario 1" "12-day-old" 41.4218065489236
"Scenario 1" "12-day-old" 41.4218065489236
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
